year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2016,Hyundai Elite i20,SPORTZ 1.2,Manual,"61,979",2nd ,Petrol,GJ,"10,884",Zero Down Payment,"5,56,699"
2022,Tata NEXON,XZ+ SUNROOF 1.2 RTN,Manual,"4,871",1st ,Petrol,GJ,"20,937",Zero Down Payment,"11,14,899"
2017,Honda Brio,1.2 VX AT I VTEC,Automatic,"53,636",2nd ,Petrol,GJ,"11,087",Zero Down Payment,"5,67,099"
2020,Hyundai Elite i20,1.2 SPORTS PLUS VTVT,Manual,"14,474",1st ,Petrol,GJ,"15,488",Zero Down Payment,"7,92,199"
2014,Hyundai Elite i20,ASTA 1.2,Manual,"71,932",1st ,Petrol,GJ,"10,762",Zero Down Payment,"5,50,499"
2018,Hyundai Grand i10,SPORTZ O 1.2,Manual,"46,406",2nd ,Petrol,GJ,"10,755",Zero Down Payment,"5,50,099"
2022,Maruti Baleno,ZETA 1.2 K12 CVT,Automatic,"37,100",1st ,Petrol,GJ,"16,064",Zero Down Payment,"8,55,399"
2019,Maruti S PRESSO,VXI PLUS,Manual,"16,553",1st ,Petrol,GJ,"9,077",Zero Down Payment,"4,64,299"
2021,Maruti Alto,LXI CNG,Manual,"40,046",1st ,Petrol + CNG,GJ,"9,415",Zero Down Payment,"4,81,599"
2017,Maruti Alto 800,VXI,Manual,"32,531",1st ,Petrol,GJ,"5,932",Zero Down Payment,"3,03,399"
2019,KIA SELTOS,GTX+ 1.4 MT,Manual,"71,886",1st ,Petrol,GJ,"23,847",Zero Down Payment,"12,69,899"
2017,Maruti Ciaz,ZETA 1.4 VVT,Manual,"24,085",1st ,Petrol,GJ,"14,027",Zero Down Payment,"7,17,499"
2018,Honda City,V CVT,Automatic,"30,304",1st ,Petrol,GJ,"17,192",Zero Down Payment,"9,15,499"
2021,Toyota Glanza,G MT PETROL,Manual,"13,479",1st ,Petrol,GJ,"15,449",Zero Down Payment,"7,90,199"
2020,Hyundai Creta,1.5 SX (O) AT,Automatic,"44,943",1st ,Petrol,GJ,"29,704",Zero Down Payment,"15,81,749"
2020,Honda WR-V,1.2 i-VTEC VX MT,Manual,"47,489",1st ,Petrol,GJ,"15,275",Zero Down Payment,"8,13,399"
2019,Honda City,V CVT,Automatic,"90,113",1st ,Petrol + CNG,GJ,"16,659",Zero Down Payment,"8,87,099"
2019,Ford Endeavour,2.2l 4X2 MT Titanium,Manual,"94,312",1st ,Diesel,GJ,"46,643",Zero Down Payment,"24,83,799"
2019,MG HECTOR,SHARP 2.0 DIESEL,Manual,"40,962",1st ,Diesel,GJ,"28,009",Zero Down Payment,"14,91,499"
2018,Maruti Baleno,ZETA 1.2 K12,Manual,"17,943",1st ,Petrol,GJ,"12,968",Zero Down Payment,"6,63,299"
2017,Maruti IGNIS,DELTA 1.2 K12,Manual,"11,699",1st ,Petrol,GJ,"9,859",Zero Down Payment,"5,04,299"
2019,Ford Figo Aspire,1.2 TITANIUM PETROL,Manual,"26,834",3rd ,Petrol,GJ,"10,481",Zero Down Payment,"5,36,099"
2017,Maruti Baleno,DELTA 1.2 K12,Manual,"20,745",1st ,Petrol,GJ,"12,076",Zero Down Payment,"6,17,699"
2020,Hyundai GRAND I10 NIOS,SPORTZ PETROL,Manual,"30,894",1st ,Petrol,GJ,"12,414",Zero Down Payment,"6,34,999"
2018,Volkswagen Vento,HIGHLINE TDI AT,Automatic,"53,682",1st ,Diesel,GJ,"17,834",Zero Down Payment,"9,49,699"
2020,Maruti S PRESSO,VXI OPT AGS,Automatic,"29,174",1st ,Petrol,GJ,"9,413",Zero Down Payment,"4,81,499"
2019,Hyundai Grand i10,1.2 KAPPA SPORTZ (O),Manual,"34,947",1st ,Petrol,GJ,"11,056",Zero Down Payment,"5,65,499"
2017,Maruti Alto 800,LXI,Manual,"36,557",1st ,Petrol,GJ,"6,031",Zero Down Payment,"3,08,499"
2018,Honda City,VX CVT PETROL,Automatic,"62,032",1st ,Petrol,GJ,"17,348",Zero Down Payment,"9,23,799"
2018,Maruti Wagon R 1.0,VXI,Manual,"48,998",1st ,Petrol,GJ,"8,864",Zero Down Payment,"4,53,399"
2017,Hyundai Grand i10,Magna 1.2 AT  VTVT,Automatic,"62,017",1st ,Petrol,GJ,"9,978",Zero Down Payment,"5,10,399"
2022,Tata Harrier,XZA+ DARK EDITION,Automatic,"34,847",1st ,Diesel,GJ,"43,445",Zero Down Payment,"23,13,499"
2020,Maruti Alto,LXI,Manual,"5,955",1st ,Petrol,GJ,"7,734",Zero Down Payment,"3,95,599"
2020,Honda City,VX CVT PETROL,Automatic,"13,369",1st ,Petrol,GJ,"23,224",Zero Down Payment,"12,36,699"
2020,Tata NEXON,XZ+ OPT PETROL,Manual,"20,693",1st ,Petrol,GJ,"18,679",Zero Down Payment,"9,94,699"
2017,Hyundai Grand i10,Magna 1.2 AT  VTVT,Automatic,"40,233",1st ,Petrol,GJ,"10,270",Zero Down Payment,"5,25,299"
2019,MG HECTOR,SHARP 2.0 DIESEL,Manual,"55,693",2nd ,Diesel,GJ,"28,076",Zero Down Payment,"14,95,099"
2018,Hyundai Elite i20,ASTA 1.2 DUAL TONE,Manual,"52,273",2nd ,Petrol,GJ,"13,368",Zero Down Payment,"6,83,799"
2018,Maruti Dzire,ZXI AMT,Automatic,"51,801",1st ,Petrol,GJ,"13,759",Zero Down Payment,"7,03,799"
2020,Ford FREESTYLE,TITANIUM 1.2 TI-VCT MT,Manual,"33,275",1st ,Petrol,GJ,"13,742",Zero Down Payment,"7,02,899"
2017,Volkswagen Vento,1.2 TSI HIGHLINE PLUS AT,Automatic,"85,502",1st ,Petrol,GJ,"15,059",Zero Down Payment,"7,70,299"
2019,Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,"60,459",1st ,Petrol,GJ,"15,416",Zero Down Payment,"8,20,899"
2019,MG HECTOR,SHARP 2.0 DIESEL,Manual,"93,193",1st ,Diesel,GJ,"28,001",Zero Down Payment,"14,91,099"
2018,Hyundai Xcent,S 1.2,Manual,"81,353",1st ,Petrol + CNG,GJ,"10,889",Zero Down Payment,"5,56,999"
2018,Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVT,Automatic,"50,356",1st ,Petrol,GJ,"12,012",Zero Down Payment,"6,14,399"
2017,Honda WR-V,1.2 i-VTEC S MT,Manual,"47,843",2nd ,Petrol + CNG,GJ,"12,289",Zero Down Payment,"6,28,599"
2019,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"79,560",1st ,Petrol + CNG,GJ,"11,918",Zero Down Payment,"6,09,599"
2020,Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,"86,283",1st ,Petrol,GJ,"18,368",Zero Down Payment,"9,78,099"
2019,Maruti Baleno,DELTA 1.2 K12,Manual,"16,731",2nd ,Petrol,GJ,"13,157",Zero Down Payment,"6,72,999"
2018,Hyundai Elite i20,ASTA 1.2,Manual,"42,280",1st ,Petrol,GJ,"13,349",Zero Down Payment,"6,82,799"
2017,Hyundai Grand i10,SPORTZ (O) 1.2 AT VTVT,Automatic,"39,166",2nd ,Petrol,GJ,"11,149",Zero Down Payment,"5,70,299"
2017,Jeep Compass,2.0 LIMITED 4*2,Manual,"1,49,075",1st ,Diesel,GJ,"17,243",Zero Down Payment,"9,18,199"
2019,Maruti Alto,LXI,Manual,"63,806",1st ,Petrol,GJ,"7,370",Zero Down Payment,"3,76,999"
2019,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"22,822",1st ,Petrol,GJ,"11,466",Zero Down Payment,"5,86,499"
2021,Maruti Alto,LXI,Manual,"5,716",2nd ,Petrol,GJ,"7,830",Zero Down Payment,"4,00,499"
2018,Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT,Automatic,"39,528",3rd ,Petrol,GJ,"16,747",Zero Down Payment,"8,91,799"
2014,Maruti Wagon R 1.0,VXI,Manual,"50,205",1st ,Petrol,GJ,"7,237",Zero Down Payment,"3,70,199"
2018,Volkswagen Vento,HIGHLINE PLUS TDI AT,Automatic,"78,458",1st ,Diesel,GJ,"16,993",Zero Down Payment,"9,04,899"
2018,Skoda Octavia,LK 1.8 TSI AT,Automatic,"62,284",1st ,Petrol,GJ,"31,082",Zero Down Payment,"16,55,149"
2017,Hyundai Grand i10,SPORTZ (O) 1.2 AT VTVT,Automatic,"55,510",1st ,Petrol,GJ,"11,714",Zero Down Payment,"5,99,199"
2017,Maruti Ciaz,ZETA 1.4 VVT AMT,Automatic,"62,847",1st ,Petrol,GJ,"14,667",Zero Down Payment,"7,50,199"
2020,Hyundai Verna,SX (O) TURBO GDI AT,Automatic,"31,530",1st ,Petrol,GJ,"23,823",Zero Down Payment,"12,68,599"
2017,Honda City,VX CVT PETROL,Automatic,"74,969",1st ,Petrol,GJ,"16,428",Zero Down Payment,"8,74,799"
2017,Hyundai Grand i10,Sportz(O) 1.2 MT,Manual,"39,725",1st ,Petrol,GJ,"10,571",Zero Down Payment,"5,40,699"
2019,Honda Civic,ZX CVT PETROL,Automatic,"89,766",1st ,Petrol,GJ,"24,709",Zero Down Payment,"13,15,799"
2018,Honda WR-V,1.2 i-VTEC VX MT,Manual,"58,151",1st ,Petrol,GJ,"15,460",Zero Down Payment,"7,90,799"
2021,Maruti Alto,VXI,Manual,"7,632",1st ,Petrol,GJ,"8,080",Zero Down Payment,"4,13,299"
2019,Renault Captur,RXT PETROL,Manual,"55,608",2nd ,Petrol,GJ,"13,623",Zero Down Payment,"6,96,799"
2021,Maruti Alto,LXI,Manual,"27,401",1st ,Petrol,GJ,"6,545",Zero Down Payment,"3,34,799"
2018,Honda City,ZX CVT,Automatic,"50,429",1st ,Petrol,GJ,"20,505",Zero Down Payment,"10,91,899"
2017,Hyundai Verna,1.6 SX VTVT,Manual,"49,592",1st ,Petrol,GJ,"15,069",Zero Down Payment,"7,70,799"
2020,Maruti S Cross,ALPHA 1.5 SMART HYBRID,Manual,"55,400",1st ,Petrol,GJ,"21,827",Zero Down Payment,"11,62,299"
2017,Hyundai New Elantra,1.6 SX AT O,Automatic,"74,862",1st ,Diesel,GJ,"21,697",Zero Down Payment,"11,55,399"
2021,Maruti Alto,LXI,Manual,"8,075",1st ,Petrol,GJ,"8,178",Zero Down Payment,"4,18,299"
2018,Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT,Automatic,"73,482",1st ,Petrol,GJ,"16,616",Zero Down Payment,"8,84,799"
2021,Maruti Alto,LXI,Manual,"16,379",1st ,Petrol,GJ,"7,814",Zero Down Payment,"3,99,699"
2018,Toyota YARIS,VX CVT,Automatic,"51,630",2nd ,Petrol,GJ,"17,173",Zero Down Payment,"9,14,499"
2021,Maruti Alto,LXI,Manual,"36,694",1st ,Petrol,GJ,"7,943",Zero Down Payment,"4,06,299"
2011,Maruti Swift,VXI,Manual,"52,822",1st ,Petrol,GJ,"6,397",Zero Down Payment,"3,27,199"
2021,Hyundai Creta,S PETROL MT,Manual,"2,771",1st ,Petrol,GJ,"23,141",Zero Down Payment,"12,32,299"
2021,Tata Safari,XT 2.0 KRYOTEC,Manual,"11,835",1st ,Diesel,GJ,"30,963",Zero Down Payment,"16,48,799"
2020,Maruti Swift,VXI,Manual,"23,034",2nd ,Petrol,GJ,"12,341",Zero Down Payment,"6,31,249"
2015,Maruti Alto 800,LXI,Manual,"25,017",1st ,Petrol,GJ,"5,396",Zero Down Payment,"2,75,999"
2018,Maruti Celerio,VXI CNG,Manual,"78,516",2nd ,Petrol + CNG,GJ,"9,226",Zero Down Payment,"4,71,899"
2010,Hyundai i10,SPORTZ 1.2,Manual,"97,958",1st ,Petrol,GJ,"4,014",Zero Down Payment,"2,05,299"
2017,Mahindra XUV500,W10 FWD,Manual,"64,057",2nd ,Diesel,GJ,"18,681",Zero Down Payment,"9,94,799"
2014,Hyundai i10,MAGNA 1.1 IRDE2,Manual,"83,871",3rd ,Petrol,GJ,"6,078",Zero Down Payment,"3,10,899"
2018,Maruti Swift,LXI,Manual,"22,792",1st ,Petrol,GJ,"10,866",Zero Down Payment,"5,55,799"
2019,Tata Tiago,XZA 1.2 REVOTRON,Automatic,"68,605",1st ,Petrol + CNG,GJ,"10,594",Zero Down Payment,"5,41,899"
2021,Maruti Eeco,5 STR WITH AC PLUSHTR,Manual,"5,333",1st ,Petrol,GJ,"10,389",Zero Down Payment,"5,31,399"
2018,Maruti Swift,ZXI AMT,Automatic,"42,702",2nd ,Petrol,GJ,"12,029",Zero Down Payment,"6,15,299"
2021,Maruti Eeco,5 STR WITH AC PLUSHTR,Manual,"11,684",1st ,Petrol,GJ,"10,389",Zero Down Payment,"5,31,399"
2022,Tata Tiago,1.2 XT (O),Manual,"18,290",1st ,Petrol,GJ,"12,348",Zero Down Payment,"6,31,599"
2017,Maruti Eeco,5 STR WITH AC PLUSHTR,Manual,"21,443",1st ,Petrol,GJ,"8,639",Zero Down Payment,"4,41,899"
2021,Maruti Eeco,5 STR WITH AC PLUSHTR,Manual,"8,619",1st ,Petrol,GJ,"10,389",Zero Down Payment,"5,31,399"
2016,Honda City,V MT PETROL,Manual,"72,586",1st ,Petrol,GJ,"12,833",Zero Down Payment,"6,56,399"
2020,Maruti Eeco,5 STR WITH AC PLUSHTR,Manual,"38,665",1st ,Petrol,GJ,"9,429",Zero Down Payment,"4,82,299"
2017,Maruti Alto 800,VXI,Manual,"97,842",1st ,Petrol,GJ,"5,505",Zero Down Payment,"2,81,599"
2016,Hyundai Elite i20,Sportz 1.2 VTVT MT,Manual,"45,821",1st ,Petrol,GJ,"11,089",Zero Down Payment,"5,67,199"
2016,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"69,959",1st ,Petrol,GJ,"7,953",Zero Down Payment,"4,06,799"
2017,Skoda Rapid,AMBITION 1.6 MPFI MT,Manual,"84,381",1st ,Petrol,GJ,"10,727",Zero Down Payment,"5,48,699"
2019,Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"35,484",1st ,Petrol,GJ,"10,145",Zero Down Payment,"5,18,899"
2017,Maruti Baleno,DELTA 1.2 K12,Manual,"67,581",1st ,Petrol,GJ,"10,661",Zero Down Payment,"5,45,299"
2019,Honda WR-V,1.2 i-VTEC VX MT,Manual,"65,144",1st ,Petrol,GJ,"13,613",Zero Down Payment,"6,96,299"
2020,Tata NEXON,KRAZ AT PETROL,Automatic,"16,218",1st ,Petrol,GJ,"15,658",Zero Down Payment,"8,33,799"
2019,Maruti Dzire,ZDI AMT,Automatic,"68,477",2nd ,Diesel,GJ,"15,278",Zero Down Payment,"7,81,499"
2019,Maruti Alto K10,VXI,Manual,"44,454",1st ,Petrol,GJ,"6,794",Zero Down Payment,"3,47,499"
2020,Hyundai VENUE,S MT 1.2 KAPPA,Manual,"8,876",1st ,Petrol,GJ,"16,584",Zero Down Payment,"8,83,099"
2018,Tata Hexa,Varicor 400 XTA,Automatic,"62,753",1st ,Diesel,GJ,"18,828",Zero Down Payment,"10,02,599"
2016,Maruti Wagon R 1.0,VXI,Manual,"65,118",1st ,Petrol,GJ,"8,139",Zero Down Payment,"4,16,299"
2011,Volkswagen Beetle,2.0 AT,Automatic,"13,268",2nd ,Petrol,KA,"29,175",Zero Down Payment,"15,53,599"
2013,Maruti Alto 800,LXI,Manual,"32,519",1st ,Petrol,KA,"5,679",Zero Down Payment,"2,90,499"
2011,Maruti Swift,VXI,Manual,"37,071",2nd ,Petrol,KA,"7,582",Zero Down Payment,"3,87,799"
2012,Maruti Alto,LXI,Manual,"20,452",1st ,Petrol,KA,"4,796",Zero Down Payment,"2,45,299"
2019,Maruti New  Wagon-R,VXI 1.2L,Manual,"3,660",1st ,Petrol,KA,"11,681",Zero Down Payment,"5,97,499"
2011,Toyota Etios Liva,G,Manual,"33,641",2nd ,Petrol,KA,"7,595",Zero Down Payment,"3,88,499"
2012,Hyundai i10,SPORTZ 1.2 KAPPA2,Manual,"28,894",2nd ,Petrol,KA,"7,132",Zero Down Payment,"3,64,799"
2012,Maruti Swift,ZXI,Manual,"47,422",1st ,Petrol,KA,"9,816",Zero Down Payment,"5,02,099"
2021,Maruti Swift,VXI,Manual,"3,535",1st ,Petrol,KA,"14,283",Zero Down Payment,"7,30,599"
2011,Volkswagen Polo,COMFORTLINE 1.2L PETROL,Manual,"72,527",1st ,Petrol,KA,"8,719",Zero Down Payment,"4,45,999"
2010,Hyundai i10,SPORTZ 1.2,Manual,"76,280",1st ,Petrol,KA,"5,963",Zero Down Payment,"3,04,999"
2011,Maruti Swift Dzire,ZDI,Manual,"47,360",1st ,Diesel,KA,"9,301",Zero Down Payment,"4,75,749"
2011,Maruti Swift,ZXI,Manual,"59,899",2nd ,Petrol,KA,"8,995",Zero Down Payment,"4,60,099"
2021,Renault Kwid,1.0 CLIMBER OPT,Manual,"4,322",1st ,Petrol,KA,"13,194",Zero Down Payment,"6,74,899"
2011,Hyundai i10,SPORTZ 1.2 KAPPA2,Manual,"29,450",2nd ,Petrol,KA,"6,395",Zero Down Payment,"3,27,099"
2020,Renault Duster,RXS 106 PS MT,Manual,"14,556",1st ,Petrol,KA,"18,771",Zero Down Payment,"9,99,599"
2012,Maruti Swift Dzire,VDI,Manual,"57,766",1st ,Diesel,KA,"8,993",Zero Down Payment,"4,59,999"
2021,Maruti S PRESSO,VXI (O) CNG,Manual,"3,507",1st ,Petrol + CNG,KA,"13,445",Zero Down Payment,"6,87,699"
2020,Skoda Rapid,ACTIVE 1.0 TSI,Manual,"3,321",1st ,Petrol,KA,"17,964",Zero Down Payment,"9,56,599"
2021,Maruti Swift,ZXI + AMT,Automatic,"15,773",2nd ,Petrol,KA,"16,894",Zero Down Payment,"8,99,599"
2010,Maruti Ritz,VXI,Manual,"75,030",1st ,Petrol,KA,"6,839",Zero Down Payment,"3,49,799"
2011,Maruti Ritz,VXI,Manual,"1,00,162",1st ,Petrol,KA,"7,323",Zero Down Payment,"3,74,599"
2020,KIA SELTOS,1.5 GTX+ AT,Automatic,"10,427",1st ,Diesel,KA,"37,515",Zero Down Payment,"19,97,699"
2020,Honda City,V MT PETROL,Manual,"14,829",1st ,Petrol,KA,"19,682",Zero Down Payment,"10,48,099"
2010,Maruti Swift,VXI,Manual,"68,006",1st ,Petrol,KA,"7,243",Zero Down Payment,"3,70,499"
2011,Maruti Swift,VXI,Manual,"51,767",2nd ,Petrol,KA,"7,017",Zero Down Payment,"3,58,899"
2021,Maruti Swift,ZXI,Manual,"9,428",1st ,Petrol,KA,"15,722",Zero Down Payment,"8,37,199"
2016,Maruti Swift Dzire,ZDI AMT,Automatic,"96,296",1st ,Diesel,KA,"13,378",Zero Down Payment,"6,84,299"
2011,Hyundai i10,SPORTZ 1.2 AT KAPPA2,Automatic,"61,387",1st ,Petrol,KA,"7,243",Zero Down Payment,"3,70,499"
2021,Maruti New  Wagon-R,VXI (O) 1.2L,Manual,"5,088",1st ,Petrol,KA,"12,762",Zero Down Payment,"6,52,799"
2018,Mahindra XUV500,W7 FWD,Manual,"24,117",1st ,Diesel,KA,"28,014",Zero Down Payment,"14,91,799"
2019,Maruti Celerio,VXI,Manual,"13,168",1st ,Petrol,KA,"10,291",Zero Down Payment,"5,26,399"
2010,Hyundai i10,SPORTZ 1.2,Manual,"60,437",1st ,Petrol,KA,"6,211",Zero Down Payment,"3,17,699"
2011,Hyundai Santro Xing,GLS,Manual,"91,282",1st ,Petrol,KA,"5,415",Zero Down Payment,"2,76,999"
2022,Honda City,ZX CVT,Automatic,337,1st ,Petrol,KA,"33,160",Zero Down Payment,"17,65,799"
2015,Hyundai Elite i20,SPORTZ 1.2,Manual,"31,131",2nd ,Petrol,HR,"10,796",Zero Down Payment,"5,52,199"
2019,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"2,126",1st ,Petrol,KA,"12,680",Zero Down Payment,"6,48,599"
2018,Volkswagen Polo,Trendline 1.0 L Petrol,Manual,"35,625",1st ,Petrol,KA,"11,982",Zero Down Payment,"6,12,899"
2013,Maruti Ritz,VXI,Manual,"39,615",1st ,Petrol,KA,"8,669",Zero Down Payment,"4,43,399"
2012,Hyundai i10,MAGNA 1.1 IRDE2,Manual,"43,299",2nd ,Petrol,KA,"5,963",Zero Down Payment,"3,04,999"
2020,Maruti New  Wagon-R,ZXI 1.2,Manual,"11,322",1st ,Petrol,KA,"12,680",Zero Down Payment,"6,48,599"
2011,Hyundai i10,MAGNA 1.2,Manual,"65,698",1st ,Petrol,KA,"5,767",Zero Down Payment,"2,94,999"
2016,Datsun Go,T,Manual,"20,216",1st ,Petrol,KA,"6,313",Zero Down Payment,"3,22,899"
2012,Hyundai Eon,D LITE PLUS,Manual,"38,933",1st ,Petrol,KA,"5,312",Zero Down Payment,"2,71,699"
2014,Maruti Swift Dzire,VXI,Manual,"45,108",2nd ,Petrol,KA,"11,022",Zero Down Payment,"5,63,799"
2020,Hyundai GRAND I10 NIOS,SPORTZ 1.2 AT,Automatic,"3,892",1st ,Petrol,KA,"15,335",Zero Down Payment,"7,84,399"
2021,Maruti Alto,VXI PLUS,Manual,"1,076",1st ,Petrol,KA,"9,140",Zero Down Payment,"4,67,499"
2010,Maruti Ritz,ZXI,Manual,"27,355",2nd ,Petrol,KA,"7,261",Zero Down Payment,"3,71,399"
2019,Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"4,190",1st ,Petrol,KA,"11,691",Zero Down Payment,"5,97,999"
2012,Maruti A Star,VXI ABS AT,Automatic,"40,936",3rd ,Petrol,KA,"6,393",Zero Down Payment,"3,26,999"
2020,Maruti Swift,ZXI AMT,Automatic,"15,493",2nd ,Petrol,KA,"15,237",Zero Down Payment,"7,79,399"
2010,Maruti Ritz,VXI,Manual,"41,714",2nd ,Petrol,KA,"6,731",Zero Down Payment,"3,44,299"
2020,KIA SELTOS,HTX 1.5 DIESEL,Manual,"61,215",1st ,Diesel,KA,"25,859",Zero Down Payment,"13,76,999"
2010,Hyundai i10,SPORTZ 1.2,Manual,"95,482",1st ,Petrol,KA,"5,799",Zero Down Payment,"2,96,599"
2016,Volkswagen Vento,HIGHLINE 1.2 TSI AT,Automatic,"41,836",2nd ,Petrol,KA,"16,094",Zero Down Payment,"8,56,999"
2019,Ford Ecosport,1.5 TDCI TITANIUM PLUS,Manual,"12,652",1st ,Diesel,KA,"20,790",Zero Down Payment,"11,07,099"
2020,Tata Tiago,XZ+ 1.2 Revotron,Manual,"9,445",2nd ,Petrol,KA,"13,345",Zero Down Payment,"6,82,599"
2013,Maruti Swift Dzire,ZXI 1.2 BS IV,Manual,"46,669",1st ,Petrol,KA,"10,610",Zero Down Payment,"5,42,699"
2019,Mahindra XUV500,W7 FWD,Manual,"39,818",1st ,Diesel,KA,"26,967",Zero Down Payment,"14,35,999"
2012,Toyota Corolla Altis,J,Manual,"75,425",2nd ,Petrol,KA,"9,771",Zero Down Payment,"4,99,799"
2017,Maruti Ciaz,S 1.3 SHVS,Manual,"31,425",1st ,Diesel,KA,"17,177",Zero Down Payment,"9,14,699"
2020,Hyundai VENUE,S MT Turbo GDI 1.0L,Manual,"19,094",1st ,Petrol,KA,"16,931",Zero Down Payment,"9,01,599"
2010,Hyundai i20,MAGNA O 1.2,Manual,"56,929",2nd ,Petrol,KA,"6,876",Zero Down Payment,"3,51,699"
2010,Maruti Wagon R,LXI,Manual,"51,755",2nd ,Petrol,KA,"5,339",Zero Down Payment,"2,73,099"
2018,Volkswagen Polo,COMFORTLINE 1.0 PETROL,Manual,"16,552",2nd ,Petrol,KA,"13,720",Zero Down Payment,"7,01,799"
2010,Maruti Wagon R,LXI,Manual,"59,347",2nd ,Petrol,KA,"5,183",Zero Down Payment,"2,65,099"
2018,Maruti Swift,VDI,Manual,"30,388",2nd ,Diesel,KA,"14,168",Zero Down Payment,"7,24,699"
2021,Maruti New  Wagon-R,VXI 1.0,Manual,"12,970",1st ,Petrol,KA,"11,765",Zero Down Payment,"6,01,799"
2015,Hyundai i10,MAGNA 1.1 IRDE2,Manual,"27,578",2nd ,Petrol,KA,"7,466",Zero Down Payment,"3,81,899"
2021,Maruti Vitara Brezza,VXI,Manual,"12,555",1st ,Petrol,KA,"19,769",Zero Down Payment,"10,52,699"
2015,Maruti Swift Dzire,ZDI,Manual,"37,712",1st ,Diesel,KA,"14,182",Zero Down Payment,"7,25,399"
2021,Maruti Swift,ZXI,Manual,"10,263",1st ,Petrol,KA,"15,572",Zero Down Payment,"7,96,499"
2012,Maruti Swift,VXI,Manual,"85,438",1st ,Petrol,KA,"9,183",Zero Down Payment,"4,69,699"
2021,Hyundai VENUE,S MT 1.2 KAPPA,Manual,"13,994",1st ,Petrol,KA,"16,621",Zero Down Payment,"8,85,099"
2020,Hyundai NEW SANTRO,1.1 SPORTS AMT,Automatic,"1,861",1st ,Petrol,KA,"12,060",Zero Down Payment,"6,16,899"
2013,Toyota Etios Liva,G SP,Manual,"65,941",1st ,Petrol,KA,"9,763",Zero Down Payment,"4,99,399"
2020,Maruti Eeco,5 STR WITH AC PLUSHTR,Manual,"7,842",2nd ,Petrol,KA,"9,490",Zero Down Payment,"4,85,399"
2020,Hyundai Creta,E,Manual,"24,097",1st ,Diesel,KA,"23,611",Zero Down Payment,"12,57,299"
2012,Maruti Swift,VDI,Manual,"97,425",1st ,Diesel,KA,"8,551",Zero Down Payment,"4,37,399"
2021,Volkswagen Polo,HIGH LINE PLUS 1.0,Manual,"13,623",1st ,Petrol,KA,"18,916",Zero Down Payment,"10,07,299"
2013,Maruti Ritz,ZDI,Manual,"85,563",2nd ,Diesel,KA,"8,856",Zero Down Payment,"4,52,999"
2021,Maruti Swift,ZXI,Manual,"39,085",1st ,Petrol,KA,"14,960",Zero Down Payment,"7,65,199"
2014,Ford Ecosport,1.5TITANIUM TDCI,Manual,"54,753",2nd ,Diesel,KA,"12,246",Zero Down Payment,"6,26,399"
2022,Hyundai Creta,1.5 SX (O),Manual,"9,548",1st ,Diesel,KA,"36,183",Zero Down Payment,"19,26,799"
2016,Maruti Swift Dzire,ZXI 1.2 BS IV,Manual,"61,599",1st ,Petrol,KA,"12,727",Zero Down Payment,"6,50,999"
2014,Renault Pulse,RX Z DIESEL,Manual,"77,064",2nd ,Diesel,KA,"7,744",Zero Down Payment,"3,96,099"
2015,Honda Brio,1.2 S MT I VTEC,Manual,"45,914",1st ,Petrol,KA,"8,985",Zero Down Payment,"4,59,599"
2019,Renault Duster,RXS 85 PS,Manual,"22,797",1st ,Diesel,KA,"19,648",Zero Down Payment,"10,46,299"
2021,Hyundai GRAND I10 NIOS,SPORTZ PETROL,Manual,"2,135",1st ,Petrol,KA,"14,741",Zero Down Payment,"7,53,999"
2016,Renault Pulse,RX L PETROL,Manual,"41,003",1st ,Petrol,KA,"8,559",Zero Down Payment,"4,37,799"
2011,Hyundai Verna,FLUIDIC 1.6 SX VTVT,Manual,"94,946",2nd ,Petrol,KA,"9,515",Zero Down Payment,"4,86,699"
2013,Maruti Ritz,VXI,Manual,"66,671",1st ,Petrol,KA,"8,047",Zero Down Payment,"4,11,599"
2012,Maruti Alto K10,VXI,Manual,"30,579",1st ,Petrol,KA,"6,061",Zero Down Payment,"3,09,999"
2013,Hyundai Santro Xing,GLS,Manual,"97,063",2nd ,Petrol,KA,"5,439",Zero Down Payment,"2,78,199"
2013,Renault Duster,85 PS RXL,Manual,"80,347",1st ,Diesel,MH,"10,581",Zero Down Payment,"5,41,199"
2016,Hyundai Creta,1.6 SX CRDI,Manual,"37,490",1st ,Diesel,KA,"22,090",Zero Down Payment,"11,76,299"
2018,Mahindra XUV500,W11 (O),Manual,"41,028",1st ,Diesel,KA,"33,008",Zero Down Payment,"17,57,699"
2011,Hyundai i20,MAGNA O 1.2,Manual,"65,247",3rd ,Petrol,KA,"6,618",Zero Down Payment,"3,38,499"
